My Family
Amiga                     ³ +39-WHAT-AMIGA            ³ Il primo amore non si scorda mai...
Bruno                     ³ +39-PAPAAAAAAA'           ³ Ehm... call him when you need more money LOL :) Just kidding :) You're great!
Carmela                   ³ +39-MAMMA-MIA...          ³ Mamma sono tanto felice... perche' ritorno da te... la mia canzone ti dice... lalalalalal... :P
Gene                      ³ +39-CUCU'                 ³ It should be me ? What about me ? :)
Leandro                   ³ +39-MIMIOLO               ³ He's a very handsome guy :) He plays the guitar... AAA... cercasi anima gemella *LOL*
Loucher                   ³ +39-MIAU-MAOOO            ³ DuCAT... the Duca cat :D
Luana                     ³ +39-LA-PIU-BELLA-DEL-MOND ³ Tu sei per me... la piu' bella del mondo... e un amore profondo... mi lega a teeeeeeeee... lalalala :*
Nicola                    ³ +39-YOU-ROCK-THE-WORLD    ³ This is my brother :)
Sheeva                    ³ +39-WOF-WOF-THE-LIL-DOGGY ³ Dov'e' la palla ? Sheeva ? Dov'e' la palla ? :P
Sonia                     ³ +39-THE-BEST-LAWYER       ³ Tons of wishes for the lil' baby :)
#
My Friends
Angelo                    ³ +1-416-OKEY-OKEY          ³ "Okokokok I'll be there in five minutes" - (the last famous words *LOL* ... and he comes one hour later)
Daniele                   ³ +1-416-905-TAI-CALMO      ³ Mela, Signora... Cierto... "'TAI CALMO!" :)
Ernesto                   ³ +1-LA-ISLA-GRANDE         ³ Un hombre que actua como piensa...
James                     ³ +39-007-MY-NAME-IS-BOND   ³ James Bond
Maria                     ³ +39-0961-CHITCHAT         ³ I'm gonna cry on my sofa'
Mario                     ³ +39-338-12345678          ³ Mario Rossi, Assicuratore... :P
Stephanie                 ³ +1-416-SHE-WONT-ANSWER    ³ "Hello this is Stephanie, I'm sorry I can't take your call right now,but leave a message at the tone..."
Vassilis N. Vlachoudis    ³ +33-450-99-18-32          ³ Your Brexx is absolutely stunning! ;) Thank you :)
#
Top Secret
#
Work Related
Boss                      ³ +39-338-KISS-MY-BUM       ³ 
Customer 001              ³ +39-CUSTOMER-001          ³ HE OWE ME LOT OF MONEY :)
Customer 002              ³ +39-CUSTOMER-002          ³ 
Office                    ³ +39-XXX-YYYYYYYY          ³ Whatever :)
#
